,Name,Brewery,Type,Alcohol,Stock,Strong,Country
386,Loteling donker,Vieille-Villers,dark,8.00%,78,strong,Belgium
387,Loteling licht,Vieille-Villers,light brown,8.00%,20,strong,Belgium
388,Lowie Kators/Malmédy brown,Brasserie d'Achouffe,brown,8.00%,55,strong,Belgium
389,Lucifer,Riva,brown,8.50%,27,strong,Belgium
390,Luxem,Maire,amber,5.50%,88,normal,Belgium
391,Mackeson Stout,Martinas,unknown,4.50%,23,light,Belgium
392,Maes Pils,Maes,light,5.10%,44,normal,Belgium
393,Mai-Bock,Piedboeuf,brown,6.10%,62,normal,Belgium
394,Malmédy brown,Brasserie d'Achouffe,brown,8.00%,6,strong,Belgium
395,Maltosa,Haacht,unknown,1.40%,11,light,Belgium
396,Marckloff,La Ferme au Chêne,unknown,6.50%,34,normal,Belgium
397,Maredsesous 10,Moortgat,unknown,9.50%,20,strong,Belgium
398,Maredsesous 6,Moortgat,brown,7.50%,75,strong,Belgium
399,Maredsesous 8,Moortgat,dark brown,8.20%,36,strong,Belgium
400,Maredsesous 9,Moortgat,dark brown,8.90%,66,strong,Belgium
401,Méértzen bier,Contreras,amber,5.20%,42,normal,Belgium
402,McChouffe,Brasserie d'Achouffe,unknown,8.80%,99,strong,Belgium
403,McEwan's Christmas Ale,Piedboeuf,dark,8.35%,24,strong,Belgium
404,McEwan's Scotch Ale,Piedboeuf,dark,7.20%,85,strong,Belgium
405,Mechelschen Bruynen,Het Anker,brown,6.50%,82,normal,Belgium
406,Meibok,Domus,unknown,7.00%,2,normal,Belgium
407,Mill's Extra Stout,Haacht,unknown,5.00%,53,normal,Belgium
408,Mill's Pale Ale,Haacht,unknown,4.80%,47,normal,Belgium
409,Mill's Scotch,Haacht,unknown,6.50%,70,normal,Belgium
410,Minty,Huyghe,unknown,4.70%,86,light,Belgium
411,Moeder Overste,Lefebvre,unknown,8.00%,71,strong,Belgium
412,Moinette Biologique,Dupont,unknown,5.50%,58,normal,Belgium
413,Mort Subite Cassis,De Keersmaeker,unknown,4.00%,61,light,Belgium
414,Mort Subite Framboise,De Keersmaeker,unknown,4.00%,30,light,Belgium
415,Mort Subite Peche,De Keersmaeker,unknown,4.00%,79,light,Belgium
416,Mosel Bier,Van Steenberge,amber,5.20%,66,normal,Belgium
417,Myn's pils,Brasserie de Silly,brown,5.00%,95,normal,Belgium
418,Myrtille,Lindemans,unknown,,78,,Belgium
419,Napoleon,De Smedt,dark,6.50%,86,normal,Belgium
420,Ne Flierefluiter,De Smedt,unknown,6.70%,71,normal,Belgium
421,Neyt Export,Neyt,brown,5.00%,62,normal,Belgium
422,Neyt Pils,Neyt,brown,5.00%,55,normal,Belgium
423,Newton Apple,Lefèbvre,white,3.50%,29,light,Belgium
424,Nostradamus,Van Steenberge,brown,7.20%,4,strong,Belgium
425,Nounou,Piraux,amber,8.00%,87,strong,Belgium
426,Notger,Piedboeuf,unknown,,7,,Belgium
427,Nounou,Bios,unknown,6.40%,64,normal,Belgium
428,Oerbier,De Dolle Brouwers,red,7.50%,64,strong,Belgium
429,Ops-ale,Sint-Jozef,pale,5.20%,37,normal,Belgium
430,Orval,Brasserie d'Orval,amber,6.20%,54,normal,Belgium
431,Oud bier Blond,Strubbe,brown,,80,,Belgium
432,Oud bier Bruin,Strubbe,brown,,71,,Belgium
433,Oud Bruin,Facon,brown,5.00%,72,normal,Belgium
434,Oud Hell,Slaghmuylder,unknown,,98,,Belgium
435,Oud Kriekenbier,Crombé,red,6.20%,40,normal,Belgium
436,Oud Zottegems bier,Crombé,brown,6.50%,86,normal,Belgium
437,Ouden Bruin,Facon,brown,2.00%,76,light,Belgium
438,Ouden bruinen,Verhaeghe,unknown,,2,,Belgium
439,Ouden Tripel,Bockor (Vanderghinste),dark brown,5.80%,93,normal,Belgium
440,Oudenaards Bruin,Cnudde,brown,5.00%,99,normal,Belgium
441,Oudenaards Wit Tarwebier,Clarysse,unknown,5.00%,77,normal,Belgium
442,Paas Kriek,Domus,unknown,7.00%,78,normal,Belgium
443,Paasbier,Slaghmuylder,brown,5.20%,70,normal,Belgium
444,Paling,Eylenbosch,brown,8.00%,22,strong,Belgium
445,Palm Green,Palm,unknown,0.25%,68,light,Belgium
446,Pater Brown,Haacht,brown,1.40%,64,light,Belgium
447,Pater Lieven,Van Den Bossche,amber,5.40%,47,normal,Belgium
448,Paulus,Het Sas/Leroy,unknown,5.00%,58,normal,Belgium
449,Pauwel Kwak,Bosteels,light brown,9.50%,97,strong,Belgium
450,Pax-pils,Sint-Jozef,palen,5.10%,89,normal,Belgium
451,Pêche-Lambiek St.-Louis,Van Honsebrouck,unknown,3.50%,80,light,Belgium
452,Pêcheresse,Lindemans,unknown,,90,,Belgium
453,Pee Klak,Strubbe,unknown,5.40%,34,normal,Belgium
454,Peeterman,De Kluis,unknown,5.00%,92,normal,Belgium
455,Perzikbier,De Neve,unknown,5.30%,89,normal,Belgium
456,Perziken bier,Timmermans,unknown,4.00%,84,light,Belgium
457,Peter Benoit,Het Sas/Leroy,brown,6.00%,9,normal,Belgium
458,Petrus,Bavik,dark brown,4.50%,40,light,Belgium
459,Pick-up,Walrave,brown,4.60%,26,light,Belgium
460,Piedboeuf Blonde,Piedboeuf,brown,,44,,Belgium
461,Piedboeuf dark,Piedboeuf,unknown,,87,,Belgium
462,Piedboeuf Triple,Piedboeuf,unknown,,99,,Belgium
463,Pils,Callewaert,unknown,4.70%,69,light,Belgium
464,Pils Artisanale,Lefebvre,brown,5.00%,51,normal,Belgium
465,Pilsen bleek-bruin,Facon,light brown,2.00%,53,light,Belgium
466,Piraat,Bios,unknown,11.00%,79,strong,Belgium
467,Polderbier Bitter,Steedje,unknown,8.00%,4,strong,Belgium
468,Polderbier Fruitig,Steedje,unknown,8.00%,91,strong,Belgium
469,Pony-Stout,Bavik,dark brown,4.50%,24,light,Belgium
470,Poorter,Sterkens,unknown,6.50%,74,normal,Belgium
471,Poperings Hommelbier,Van Eecke,brown,6.00%,51,normal,Belgium
472,Poperings Hommelbier,Van Eecke,unknown,7.50%,77,strong,Belgium
473,Postel,De Smedt,unknown,8.00%,52,strong,Belgium
474,Postel Abdijbier,Campina,dark,7.50%,72,strong,Belgium
475,Prik Pils,Roman,unknown,4.90%,21,normal,Belgium
476,Primus Haacht Pils,Haacht,brown,5.00%,15,normal,Belgium
477,Primus-Pils Christmas,Haacht,unknown,5.15%,29,normal,Belgium
478,Promesse,Piessens,unknown,7.50%,20,strong,Belgium
479,Prosit,Bosteels,brown,4.80%,14,normal,Belgium
480,Punch Beer,Facon,amber,8.00%,85,strong,Belgium
481,Queue de Charrue,Verhaeghe,unknown,5.20%,31,normal,Belgium
482,Raf Export,Contreras,brown,5.00%,11,normal,Belgium
483,Redor Pils,Dupont,brown,5.00%,52,normal,Belgium
484,Reinbrau,Alken-Maes,brown,4.00%,61,light,Belgium
485,Relax,Huyghe,unknown,,11,,Belgium
486,Réserve Marie de Hongrie,La Binchoise,unknown,8.70%,62,strong,Belgium
487,Ridder,Het Sas/Leroy,unknown,5.00%,34,normal,Belgium
488,Riva 2000,Riva,brown,6.00%,58,normal,Belgium
489,Riva Pils,Riva,brown,5.00%,51,normal,Belgium
490,Riva Triple,Riva,amber,6.75%,26,normal,Belgium
491,Rochus,De Ryck,unknown,4.70%,87,light,Belgium
492,Rodal,De Neve,brown,3.80%,14,light,Belgium
493,Rodark,Riva,dark,5.00%,29,normal,Belgium
494,Rodea Gueuze,Eylenbosch,golden,5.00%,22,normal,Belgium
495,Rodea Kriek,Eylenbosch,red,5.00%,85,normal,Belgium
496,Rodenbach,Rodenbach,dark,4.60%,22,light,Belgium
497,Rodenbach Grand Cru,Rodenbach,dark,5.10%,57,normal,Belgium
498,Roman Oudenaards,Roman,brown,5.00%,73,normal,Belgium
499,Romy Export,Roman,unknown,4.50%,39,light,Belgium
500,Romy Luxe,Roman,brown,5.60%,54,normal,Belgium
501,Romy Pils,Roman,brown,5.20%,46,normal,Belgium
502,Rose de Cambrinus,Cantillon,unknown,5.00%,88,normal,Belgium
503,Routiers,Isebaert,unknown,1.00%,54,light,Belgium
504,Royal Ale,R. van Roy en Cie.,brown,5.10%,94,normal,Belgium
505,Royale Blonde,Brasserie de Silly,unknown,1.20%,68,light,Belgium
506,Safir,Artois,unknown,5.00%,98,normal,Belgium
507,Safir,Dendria,brown,4.70%,91,light,Belgium
508,Saint-Ghislain,Dupont,unknown,8.50%,14,strong,Belgium
509,Saint-Hubert Blonde,Maire,brown,6.50%,28,normal,Belgium
510,Saison,Dupont,amber,5.00%,76,normal,Belgium
511,Saison 1900,Lefebvre,amber,5.00%,67,normal,Belgium
512,Saison d'Erezée,Fantôme,unknown,7.00%,99,normal,Belgium
513,Saison de Pipaix,Brasserie a Vapeur,amber,5.00%,4,normal,Belgium
514,Saison de Silly,Brasserie de Silly,amber,5.00%,18,normal,Belgium
515,Saison Dupont,Dupont,unknown,6.50%,16,normal,Belgium
516,Saison Dupont Biologique,Dupont,unknown,7.50%,31,strong,Belgium
517,Saison Regal,Brasserie du Bocq,amber,5.20%,99,normal,Belgium
518,Salvator,R. van Roy en Cie.,dark brown,7.50%,83,strong,Belgium
519,Sanctus,Moortgat,dark brown,7.00%,87,normal,Belgium
520,Sas Export,Het Sas/Leroy,brown,4.50%,67,light,Belgium
521,Sas Pils,Het Sas/Leroy,brown,4.50%,47,light,Belgium
522,Sasbräu,Het Sas/Leroy,brown,6.00%,2,normal,Belgium
523,Satan dark,De Block,unknown,8.00%,94,strong,Belgium
524,Satan golden,De Block,unknown,8.00%,30,strong,Belgium
525,Schavuit,Callewaert,unknown,8.00%,72,strong,Belgium
526,Schwendi,Devaux,unknown,6.50%,10,normal,Belgium
527,Scotch,Wielemans-Ceuppens,dark,7.50%,95,strong,Belgium
528,Scotch de Silly,Brasserie de Silly,dark brown,7.70%,47,strong,Belgium
529,Seule,Slaghmuylder,amber,5.70%,75,normal,Belgium
530,Sezoens,Martens,brown,6.00%,17,normal,Belgium
531,Sezoens Quattro,Martens,unknown,8.00%,50,strong,Belgium
532,Sint-Bernardus Tripel,Sint-Bernardus,unknown,7.00%,30,normal,Belgium
533,Skipper Ale,Campina,amber,5.00%,92,normal,Belgium
534,Slag Lagerbier,Slaghmuylder,brown,4.70%,61,light,Belgium
535,Sloeber,Roman,brown,7.00%,18,normal,Belgium
536,Sorcières de Ellezeles,Voisin,unknown,6.80%,66,normal,Belgium
537,Spanik Gueuze,Eylenbosch,golden,5.00%,55,normal,Belgium
538,Sparta Pils,Bios,pale,5.00%,43,normal,Belgium
539,Speciaal,Callewaert,unknown,,53,,Belgium
540,Speciaal Natuurbier,Strubbe,unknown,4.90%,24,normal,Belgium
541,Special,De Biertoren,unknown,0.80%,11,light,Belgium
542,Special Alken,Alken-Maes,unknown,1.40%,23,light,Belgium
543,Special Block 6,De Block-Joostens,red-brown,5.50%,8,normal,Belgium
544,Special Blond,Verlinden,brown,0.80%,34,light,Belgium
545,Special De Ryck,De Ryck,brown,4.50%,58,light,Belgium
546,Special Katje,Het Sas/Leroy,amber,6.00%,97,normal,Belgium
547,Spécial Noel,La Binchoise,unknown,9.00%,54,strong,Belgium
548,Special Roman,Roman,brown,5.50%,51,normal,Belgium
549,Speciale Aerts,Palm,amber,4.80%,3,normal,Belgium
550,Speciale Baf,De Smedt,amber,5.00%,9,normal,Belgium
551,Spéciale d'Avignon,Brasserie d'Avignon,unknown,,30,,Belgium
552,Spéciale Gigi,Brasserie Gigi,unknown,2.00%,72,light,Belgium
553,Speciale Neval,De Neve,amber,3.70%,43,light,Belgium
554,Speciale Op-Ale,De Smedt,amber,5.00%,85,normal,Belgium
555,Speciale Palm,Palm,amber,4.50%,67,light,Belgium
556,Speciale Stop,Bavik,amber,4.50%,88,light,Belgium
557,St. Benedict,De Kluis,dark red,6.50%,3,normal,Belgium
558,St. Benoît brown,Brasserie du Bocq,unknown,7.40%,95,strong,Belgium
559,St. Benoît brown,Brasserie du Bocq,unknown,7.40%,57,strong,Belgium
560,St. Feuillien,Brasserie du Bocq,brown,6.40%,100,normal,Belgium
561,St. Feuillien brown,Friart,brown,6.50%,17,normal,Belgium
562,St. Feuillien brown,Brasserie du Bocq,unknown,7.80%,50,strong,Belgium
563,St. Feuillien Brown,Friart,brown,6.50%,21,normal,Belgium
564,St. Feuillien brown,Brasserie du Bocq,unknown,7.40%,45,strong,Belgium
565,St. Feuillien Cuvée de Noël,Brasserie du Bocq,unknown,9.00%,57,strong,Belgium
566,St. Feuillien Cuvée de Noël,Friart,unknown,9.00%,54,strong,Belgium
567,St. Paul Double,Sterkens,unknown,6.90%,56,normal,Belgium
568,St. Paul Triple,Sterkens,unknown,7.60%,46,strong,Belgium
569,St. Sebastiaan Dark,Sterkens,unknown,6.90%,59,normal,Belgium
570,St. Sebastiaan Grand Cru,Sterkens,unknown,7.60%,84,strong,Belgium
571,St. Sixtus Abdij Abt,Sint-Bernardus,dark,10.40%,75,strong,Belgium
572,St. Sixtus Abdij Pater,Sint-Bernardus,dark,7.10%,52,strong,Belgium
573,St. Sixtus Abdij Prior,Sint-Bernardus,dark,8.30%,36,strong,Belgium
574,Star Blond,Haacht,unknown,0.40%,45,light,Belgium
575,Star Brown,Haacht,brown,0.40%,69,light,Belgium
576,Steedje,Steedje,unknown,7.90%,95,strong,Belgium
577,Steedje Special,Steedje,unknown,7.90%,23,strong,Belgium
578,Steenbrugge Dubbel,De Gouden Boom,amber,6.50%,10,normal,Belgium
579,Steenbrugge Tripel,De Gouden Boom,unknown,9.00%,27,strong,Belgium
580,Steendonk,Palm,white,4.90%,69,normal,Belgium
581,Stella Artois,Artois,brown,5.75%,45,normal,Belgium
582,Stella Artois light,Artois,brown,3.50%,35,light,Belgium
583,Stella Artois N.A.,Artois,unknown,0.50%,38,light,Belgium
584,Ster Ale,Sterkens,amber,4.70%,63,light,Belgium
585,Ster Christmas,Sterkens,dark amber,6.30%,52,normal,Belgium
586,Stille Nacht,De Dolle Brouwers,red-brown,9.00%,50,strong,Belgium
587,Stoeren Bonk,Bios,unknown,6.20%,51,normal,Belgium
588,Stout,Louwaege,unknown,4.80%,71,normal,Belgium
589,Stout Extra,Lefebvre,unknown,6.50%,12,normal,Belgium
590,Straffe Hendrik,Straffe Hendrik,brown,7.50%,1,strong,Belgium
591,Stropken Grand Cru,Slaghmuylder,amber,7.00%,43,normal,Belgium
592,Strubbe Stout,Strubbe,unknown,5.00%,58,normal,Belgium
593,Student,Lefebvre,unknown,4.50%,77,light,Belgium
594,Sublim,Piessens,unknown,8.50%,83,strong,Belgium
595,Sublim Light,Piessens,unknown,5.00%,28,normal,Belgium
596,Super,Voisin,amber,4.50%,32,light,Belgium
597,Super 64,Brasserie de Silly,amber,5.30%,60,normal,Belgium
598,Super brown,Brasserie Gigi,unknown,1.20%,74,light,Belgium
599,Super des Fagnes,Brasserie du Bocq,unknown,8.10%,30,strong,Belgium
600,Super extra,Facon,unknown,3.00%,26,light,Belgium
601,Super Pils,Bavik,brown,4.50%,47,light,Belgium
602,Super Pils,Strubbe,brown,4.30%,12,light,Belgium
603,Supergeuze,Cantillon,unknown,5.00%,63,normal,Belgium
604,Supra,Artois,unknown,5.00%,84,normal,Belgium
605,Supra,Dendria,brown,4.70%,76,light,Belgium
606,T.V.,R. van Roy en Cie.,jaune,3.30%,77,light,Belgium
607,Tafel Hell,Slaghmuylder,unknown,,97,,Belgium
608,Tafelstout,Martens,unknown,0.50%,29,light,Belgium
609,Teutenbier,De Teut,unknown,7.50%,38,strong,Belgium
610,Titje,Brasserie de Silly,unknown,5.00%,28,normal,Belgium
611,Toison D'Or,Het Anker,brown,7.00%,27,normal,Belgium
612,Tongerlo Dubbel,Haacht,unknown,6.50%,42,normal,Belgium
613,Tongerlo Tripel,Haacht,unknown,8.00%,11,strong,Belgium
614,Tonneke,Contreras,amber,5.00%,77,normal,Belgium
615,Tourtel amber,Alken-Maes,amber,0.50%,36,light,Belgium
616,Tourtel brown,Alken-Maes,brown,0.50%,51,light,Belgium
617,Tourtel Brown,Alken-Maes,brown,0.50%,93,light,Belgium
618,Trappistenbier Dubbel,Trappisten,dark,6.30%,47,normal,Belgium
619,Trappistenbier Extra,Trappisten,unknown,4.00%,75,light,Belgium
620,Trappistenbier Tripel,Trappisten,amber,8.10%,53,strong,Belgium
621,Trappistenbier Westvleteren Abt,Sint-Sixtusabdij,dark red,10.50%,17,strong,Belgium
622,Trappistenbier Westvleteren Extra,Sint-Sixtusabdij,dark red,8.50%,58,strong,Belgium
623,Trappistenbier Westvleteren Special,Sint-Sixtusabdij,dark red,6.20%,91,normal,Belgium
624,Trappistes Rochefort 6,Notre Dame St.-Remy,brown,7.50%,53,strong,Belgium
625,Trappistes Rochefort 8,Notre Dame St.-Remy,brown,9.20%,48,strong,Belgium
626,Trappistes Rochefort 10,Notre Dame St.-Remy,brown,11.30%,92,strong,Belgium
627,Trial Alken,Alken-Maes,unknown,3.70%,11,light,Belgium
628,Trio,De Koninck,unknown,7.50%,76,strong,Belgium
629,Tripel,Verhaeghe,unknown,,76,,Belgium
630,Tripel Loo,Vieille Villers,unknown,6.50%,81,normal,Belgium
631,Triple Block,Brasserie de Silly,unknown,3.20%,38,light,Belgium
632,Triple Bock,Bavik,unknown,,54,,Belgium
633,Triple Floreffe,Lefebvre,amber,8.00%,55,strong,Belgium
634,Triple Loo,Isebaert,unknown,7.50%,47,strong,Belgium
635,Triple Moine,Brasserie du Bocq,brown,7.20%,72,strong,Belgium
636,Triple Villers,Vieille-Villers,amber,8.90%,27,strong,Belgium
637,Triplor,Roman,unknown,3.50%,16,light,Belgium
638,Brown,R. van Roy en cie,unknown,1.50%,72,light,Belgium
639,Ulricher Pils,Girardin,brown,5.00%,51,normal,Belgium
640,Unic Gigi,Brasserie Gigi,unknown,3.00%,18,light,Belgium
641,Upper 19,R. van Roy en Cie.,brown,7.50%,72,strong,Belgium
642,Urtyp,Piedboeuf,brown,6.10%,46,normal,Belgium
643,Vaartlander,Brouwerij Sint-Niklaas,unknown,6.40%,30,normal,Belgium
644,Val-Dieu Triple,Van Honsebrouck,unknown,9.00%,13,strong,Belgium
645,Vapeur LégŠre Blonde,Brasserie … Vapeur,unknown,4.50%,79,light,Belgium
646,Vedett,Moortgat,brown,5.50%,71,normal,Belgium
647,Vera Pils,Verhaeghe,brown,4.80%,35,normal,Belgium
648,Very Diest,Haacht,unknown,1.00%,69,light,Belgium
649,Vichtenaar,Verhaeghe,dark brown,4.50%,65,light,Belgium
650,Vieille Saison,Voisin,amber,5.50%,31,normal,Belgium
651,Vieille Salme,Brasserie d'Achouffe,unknown,8.40%,32,strong,Belgium
652,Vieille Villers,Vieille-Villers,dark,8.00%,44,strong,Belgium
653,Vieux Bruges Framboos,Van Honsebrouck,unknown,5.00%,63,normal,Belgium
654,Vieux Bruges Gueuze,Van Honsebrouck,unknown,5.00%,70,normal,Belgium
655,Vieux Bruges Kriek,Van Honsebrouck,red,5.00%,64,normal,Belgium
656,Vieux-Temps,St. Guibert,amber,4.60%,23,light,Belgium
657,Vigneronne,Cantillon,unknown,5.00%,30,normal,Belgium
658,Villers St. Ghislain,Brasserie de Silly,unknown,8.50%,5,strong,Belgium
659,Vlaams Wit/Blanch-ke,Van Honsebrouck,white,4.60%,75,light,Belgium
660,Vlaskop,Strubbe,white,5.50%,68,normal,Belgium
661,Vondel,Riva,dark,8.50%,60,strong,Belgium
662,Watney's Red Barrel,Alken-Maes,unknown,6.00%,44,normal,Belgium
663,Watneys Christmas,Alken-Maes,dark,7.70%,95,strong,Belgium
664,Watneys Pale-Ale,Alken-Maes,light brown,5.40%,43,normal,Belgium
665,Watneys Scotch,Alken-Maes,dark,8.00%,83,strong,Belgium
666,Watneys Stout,Alken-Maes,dark,3.60%,95,light,Belgium
667,Watou's Wit,Van Eecke,unknown,5.00%,61,normal,Belgium
668,Westmalle Trappist Dubbel,Westmalle,light brown,7.00%,57,normal,Belgium
669,Westmalle Trappist Tripel,Westmalle,golden,9.50%,78,strong,Belgium
670,Westmalle Extra,Westmalle,golden,5.00%,40,normal,Belgium
671,Westvleteren Acht Blue Cap,Sint-Sixtus,brown,8.00%,14,strong,Belgium
672,Whitbread Extra Stout,Martinas,unknown,4.50%,35,light,Belgium
673,Whitbread Pale Ale,Martinas,unknown,4.50%,52,light,Belgium
674,Wiel's,Wielemans-Ceuppens,brown,5.25%,83,normal,Belgium
675,Wiels,Artois,unknown,5.00%,1,normal,Belgium
676,Wieze Pils,R. van Roy en Cie.,yellow,4.70%,33,light,Belgium
677,Wilson Mild,Bios,unknown,5.20%,8,normal,Belgium
678,Witkap Pater/Dubbele Pater,Slaghmuylder,brown,5.40%,37,normal,Belgium
679,Witkap Pater/Stimulo,Slaghmuylder,brown,5.40%,5,normal,Belgium
680,Witkap Pater/Tripel,Slaghmuylder,brown,6.50%,57,normal,Belgium
681,Wonderbier,Moortgat,brown,3.50%,60,light,Belgium
682,Wonderlight,Moortgat,unknown,1.90%,44,light,Belgium
683,X-Mas,R. van Roy en Cie.,dark brown,7.50%,59,strong,Belgium
684,XMas 8,Brasserie du Bocq,brown,8.00%,62,strong,Belgium
685,Yperman,Het Sas/Leroy,unknown,6.00%,51,normal,Belgium
686,Zeelse houten kop,Huyghe,unknown,,46,,Belgium
687,Zottegems,Cromb,dark,4.50%,52,light,Belgium
688,Zottegemse Grand Cru,Cromb,unknown,8.40%,8,strong,Belgium
689,Zulte oud bruin,Alken-Maes,brown,4.00%,64,light,Belgium
